# Data source (tax revenue): 財務省「一般会計税収の推移」（各年度決算額）より作成。
# Data source (nominal GNI): 内閣府「国民経済計算 年次推計（2023年度まで）付表1-1 国民所得支出」より作成。
fiscal_year,tax_revenue_trillion_yen,nominal_gni_trillion_yen
1994,51.7,511.0
1995,51.9,519.7
1996,53.9,531.6
1997,54.0,537.6
1998,48.9,522.2
1999,49.6,516.9
2000,50.7,525.9
2001,47.9,512.3
2002,46.4,510.3
2003,43.9,512.9
2004,44.8,522.8
2005,45.9,535.7
2006,48.0,551.8
2007,51.0,564.7
2008,44.3,534.0
2009,38.7,501.0
2010,41.0,520.1
2011,42.9,523.0
2012,43.9,533.3
2013,47.0,549.4
2014,54.0,556.8
2015,56.3,570.3
2016,55.5,579.6
2017,58.7,601.4
2018,60.4,618.7
2019,55.0,612.8
2020,55.1,582.8
2021,67.0,602.4
2022,71.1,631.9
2023,69.4,655.5
